INFO [1] n030w4 | 1.85s | rounds=500 | P: 26430 -> 15690 (Δ=+10740) | hard={'H1': 0, 'H2': 0, 'H3': 15, 'H4': 0}
INFO [2] n050w4 | 3.26s | rounds=500 | P: 49655 -> 33275 (Δ=+16380) | hard={'H1': 0, 'H2': 0, 'H3': 11, 'H4': 0}
INFO [3] n120w4 | 8.24s | rounds=500 | P: 140805 -> 98260 (Δ=+42545) | hard={'H1': 0, 'H2': 0, 'H3': 70, 'H4': 0}
INFO [4] n060w4 | 4.23s | rounds=500 | P: 92440 -> 66155 (Δ=+26285) | hard={'H1': 0, 'H2': 0, 'H3': 34, 'H4': 0}
INFO [5] n050w4 | 3.32s | rounds=500 | P: 46155 -> 28430 (Δ=+17725) | hard={'H1': 0, 'H2': 0, 'H3': 20, 'H4': 0}
INFO [6] n120w4 | 8.20s | rounds=500 | P: 141960 -> 101775 (Δ=+40185) | hard={'H1': 0, 'H2': 0, 'H3': 77, 'H4': 0}
INFO [7] n040w8 | 7.16s | rounds=500 | P: 94065 -> 58525 (Δ=+35540) | hard={'H1': 0, 'H2': 0, 'H3': 33, 'H4': 0}
INFO [8] n050w4 | 4.20s | rounds=500 | P: 49540 -> 30895 (Δ=+18645) | hard={'H1': 0, 'H2': 0, 'H3': 18, 'H4': 0}
INFO [9] n100w8 | 13.54s | rounds=500 | P: 191230 -> 154215 (Δ=+37015) | hard={'H1': 0, 'H2': 0, 'H3': 89, 'H4': 0}
INFO [10] n120w4 | 8.58s | rounds=500 | P: 140150 -> 99995 (Δ=+40155) | hard={'H1': 0, 'H2': 0, 'H3': 69, 'H4': 0}
INFO [10] mean_scaled_reward(last≤2000)=1.3135  top5_arms={extend_short_rest=4150, extend_short_same_shift_streak=608, fix_incomplete_weekend=83, extend_short_work_streak=37, break_long_rest_mid=32}
INFO [11] n100w8 | 13.87s | rounds=500 | P: 193225 -> 160090 (Δ=+33135) | hard={'H1': 0, 'H2': 0, 'H3': 114, 'H4': 0}
INFO [12] n050w8 | 7.05s | rounds=500 | P: 90310 -> 63900 (Δ=+26410) | hard={'H1': 0, 'H2': 0, 'H3': 65, 'H4': 0}
INFO [13] n120w4 | 8.48s | rounds=500 | P: 143335 -> 97935 (Δ=+45400) | hard={'H1': 0, 'H2': 0, 'H3': 61, 'H4': 0}
INFO [14] n060w8 | 8.41s | rounds=500 | P: 128500 -> 85905 (Δ=+42595) | hard={'H1': 0, 'H2': 0, 'H3': 63, 'H4': 0}
INFO [15] n080w4 | 5.68s | rounds=500 | P: 104825 -> 77265 (Δ=+27560) | hard={'H1': 0, 'H2': 0, 'H3': 34, 'H4': 0}
INFO [16] n120w8 | 17.16s | rounds=500 | P: 282425 -> 217915 (Δ=+64510) | hard={'H1': 0, 'H2': 0, 'H3': 172, 'H4': 0}
INFO [17] n100w8 | 13.70s | rounds=500 | P: 195690 -> 158740 (Δ=+36950) | hard={'H1': 0, 'H2': 0, 'H3': 104, 'H4': 0}
INFO [18] n050w4 | 3.46s | rounds=500 | P: 51795 -> 29315 (Δ=+22480) | hard={'H1': 0, 'H2': 0, 'H3': 23, 'H4': 0}
INFO [19] n100w4 | 6.90s | rounds=500 | P: 98765 -> 74525 (Δ=+24240) | hard={'H1': 0, 'H2': 0, 'H3': 42, 'H4': 0}
INFO [20] n060w4 | 4.30s | rounds=500 | P: 93980 -> 65415 (Δ=+28565) | hard={'H1': 0, 'H2': 0, 'H3': 37, 'H4': 0}
INFO [20] mean_scaled_reward(last≤2000)=1.1223  top5_arms={extend_short_rest=8866, extend_short_same_shift_streak=872, fix_incomplete_weekend=83, extend_short_work_streak=37, break_long_rest_mid=32}
INFO [21] n100w8 | 13.91s | rounds=500 | P: 190965 -> 161610 (Δ=+29355) | hard={'H1': 0, 'H2': 0, 'H3': 96, 'H4': 0}
INFO [22] n080w8 | 11.25s | rounds=500 | P: 193875 -> 156360 (Δ=+37515) | hard={'H1': 0, 'H2': 0, 'H3': 74, 'H4': 0}
INFO [23] n050w8 | 7.09s | rounds=500 | P: 93830 -> 67085 (Δ=+26745) | hard={'H1': 0, 'H2': 0, 'H3': 74, 'H4': 0}
