INFO [1] n030w4 | 0.01s | weeks=4 | mean_unscaled_traj=4916.25
INFO [2] n050w4 | 0.02s | weeks=4 | mean_unscaled_traj=6190.00
INFO [3] n050w4 | 0.02s | weeks=4 | mean_unscaled_traj=4805.00
INFO [4] n040w4 | 0.02s | weeks=4 | mean_unscaled_traj=3593.75
INFO [5] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=8200.00
INFO [6] n040w8 | 0.07s | weeks=8 | mean_unscaled_traj=6075.00
INFO [7] n120w8 | 0.21s | weeks=8 | mean_unscaled_traj=22623.12
INFO [8] n120w8 | 0.21s | weeks=8 | mean_unscaled_traj=24503.12
INFO [9] n050w8 | 0.09s | weeks=8 | mean_unscaled_traj=9325.62
INFO [10] n030w4 | 0.02s | weeks=4 | mean_unscaled_traj=6170.00
INFO [11] n100w8 | 0.17s | weeks=8 | mean_unscaled_traj=14812.50
INFO [12] n120w4 | 0.06s | weeks=4 | mean_unscaled_traj=21568.75
INFO [13] n080w8 | 0.14s | weeks=8 | mean_unscaled_traj=11230.62
INFO [14] n120w8 | 0.21s | weeks=8 | mean_unscaled_traj=24382.50
INFO [15] n100w4 | 0.05s | weeks=4 | mean_unscaled_traj=14028.75
INFO [16] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=11183.75
INFO [17] n050w8 | 0.09s | weeks=8 | mean_unscaled_traj=9306.25
INFO [18] n100w8 | 0.22s | weeks=8 | mean_unscaled_traj=14172.50
INFO [19] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=11750.00
INFO [20] n030w4 | 0.02s | weeks=4 | mean_unscaled_traj=5691.25
INFO [20] mean_scaled_reward=12.791724 arm_usage={'coverage_first': 20, 'fatigue_aware': 3, 'weekend_balancing': 3, 'preference_respecting': 90} hist(last≤200)=[6, 30, 22, 20, 14, 3, 11, 10]
INFO [21] n040w4 | 0.02s | weeks=4 | mean_unscaled_traj=7106.25
INFO [22] n060w8 | 0.11s | weeks=8 | mean_unscaled_traj=11713.75
INFO [23] n060w8 | 0.11s | weeks=8 | mean_unscaled_traj=11978.75
INFO [24] n060w4 | 0.03s | weeks=4 | mean_unscaled_traj=6565.00
INFO [25] n040w8 | 0.07s | weeks=8 | mean_unscaled_traj=7116.25
INFO [26] n040w4 | 0.02s | weeks=4 | mean_unscaled_traj=6982.50
INFO [27] n100w4 | 0.05s | weeks=4 | mean_unscaled_traj=14346.25
INFO [28] n060w4 | 0.03s | weeks=4 | mean_unscaled_traj=8570.00
INFO [29] n040w8 | 0.07s | weeks=8 | mean_unscaled_traj=6926.88
INFO [30] n100w4 | 0.05s | weeks=4 | mean_unscaled_traj=14808.75
INFO [31] n040w8 | 0.07s | weeks=8 | mean_unscaled_traj=7157.50
INFO [32] n040w4 | 0.02s | weeks=4 | mean_unscaled_traj=7192.50
INFO [33] n100w8 | 0.18s | weeks=8 | mean_unscaled_traj=14688.75
INFO [34] n030w8 | 0.06s | weeks=8 | mean_unscaled_traj=5806.25
INFO [35] n030w4 | 0.02s | weeks=4 | mean_unscaled_traj=5771.25
INFO [36] n030w8 | 0.06s | weeks=8 | mean_unscaled_traj=5849.38
INFO [37] n060w8 | 0.11s | weeks=8 | mean_unscaled_traj=11955.00
INFO [38] n040w8 | 0.07s | weeks=8 | mean_unscaled_traj=7219.38
INFO [39] n120w4 | 0.06s | weeks=4 | mean_unscaled_traj=24440.00
INFO [40] n030w4 | 0.02s | weeks=4 | mean_unscaled_traj=5483.75
INFO [40] mean_scaled_reward=11.068644 arm_usage={'coverage_first': 27, 'fatigue_aware': 3, 'weekend_balancing': 3, 'preference_respecting': 203} hist(last≤200)=[29, 65, 30, 40, 16, 0, 5, 15]
INFO [41] n100w8 | 0.18s | weeks=8 | mean_unscaled_traj=14813.75
INFO [42] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=11481.25
INFO [43] n120w4 | 0.06s | weeks=4 | mean_unscaled_traj=22522.50
INFO [44] n120w4 | 0.06s | weeks=4 | mean_unscaled_traj=23255.00
INFO [45] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=11023.75
INFO [46] n050w4 | 0.03s | weeks=4 | mean_unscaled_traj=9111.25
INFO [47] n050w8 | 0.09s | weeks=8 | mean_unscaled_traj=9224.38
INFO [48] n050w8 | 0.09s | weeks=8 | mean_unscaled_traj=9376.88
INFO [49] n050w4 | 0.03s | weeks=4 | mean_unscaled_traj=8783.75
INFO [50] n030w8 | 0.06s | weeks=8 | mean_unscaled_traj=5560.00
INFO [51] n120w8 | 0.21s | weeks=8 | mean_unscaled_traj=25355.62
INFO [52] n060w8 | 0.11s | weeks=8 | mean_unscaled_traj=11893.12
INFO [53] n030w8 | 0.06s | weeks=8 | mean_unscaled_traj=5887.50
INFO [54] n040w8 | 0.08s | weeks=8 | mean_unscaled_traj=7102.50
INFO [55] n060w8 | 0.12s | weeks=8 | mean_unscaled_traj=11911.88
INFO [56] n030w4 | 0.02s | weeks=4 | mean_unscaled_traj=6077.50
INFO [57] n040w4 | 0.02s | weeks=4 | mean_unscaled_traj=7147.50
INFO [58] n050w8 | 0.10s | weeks=8 | mean_unscaled_traj=9370.00
INFO [59] n100w8 | 0.18s | weeks=8 | mean_unscaled_traj=14579.38
INFO [60] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=11010.00
INFO [60] mean_scaled_reward=11.262361 arm_usage={'coverage_first': 44, 'fatigue_aware': 3, 'weekend_balancing': 3, 'preference_respecting': 310} hist(last≤200)=[46, 67, 35, 26, 10, 1, 11, 4]
INFO [61] n030w8 | 0.06s | weeks=8 | mean_unscaled_traj=5396.25
INFO [62] n060w4 | 0.03s | weeks=4 | mean_unscaled_traj=8123.75
INFO [63] n030w4 | 0.02s | weeks=4 | mean_unscaled_traj=6032.50
INFO [64] n120w8 | 0.21s | weeks=8 | mean_unscaled_traj=24459.38
INFO [65] n040w4 | 0.02s | weeks=4 | mean_unscaled_traj=6951.25
INFO [66] n050w8 | 0.09s | weeks=8 | mean_unscaled_traj=9546.25
INFO [67] n120w8 | 0.22s | weeks=8 | mean_unscaled_traj=24535.00
INFO [68] n100w8 | 0.17s | weeks=8 | mean_unscaled_traj=14877.50
INFO [69] n100w8 | 0.17s | weeks=8 | mean_unscaled_traj=14946.25
INFO [70] n060w8 | 0.11s | weeks=8 | mean_unscaled_traj=11813.12
INFO [71] n100w8 | 0.17s | weeks=8 | mean_unscaled_traj=14713.75
INFO [72] n120w8 | 0.21s | weeks=8 | mean_unscaled_traj=24695.00
INFO [73] n050w8 | 0.09s | weeks=8 | mean_unscaled_traj=9289.38
INFO [74] n030w4 | 0.02s | weeks=4 | mean_unscaled_traj=5967.50
INFO [75] n080w8 | 0.14s | weeks=8 | mean_unscaled_traj=11218.75
INFO [76] n100w8 | 0.18s | weeks=8 | mean_unscaled_traj=14395.62
INFO [77] n040w8 | 0.08s | weeks=8 | mean_unscaled_traj=6331.88
INFO [78] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=11527.50
INFO [79] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=11035.00
INFO [80] n120w4 | 0.06s | weeks=4 | mean_unscaled_traj=22097.50
INFO [80] mean_scaled_reward=11.851900 arm_usage={'coverage_first': 58, 'fatigue_aware': 3, 'weekend_balancing': 3, 'preference_respecting': 428} hist(last≤200)=[39, 42, 38, 42, 8, 5, 17, 9]
INFO [81] n120w4 | 0.06s | weeks=4 | mean_unscaled_traj=22530.00
INFO [82] n040w8 | 0.08s | weeks=8 | mean_unscaled_traj=7054.38
INFO [83] n100w4 | 0.05s | weeks=4 | mean_unscaled_traj=14625.00
