[exp11] 6 bundled instances

[exp11] n005w4 H0 W[1, 2, 3, 3]
  start=greedy bandit=linucb rounds=0 P0=4990 -> 4990 (Δ=+0)
  start=greedy bandit=linucb rounds=50 P0=4990 -> 4815 (Δ=+175)
  start=greedy bandit=linucb rounds=100 P0=4990 -> 4465 (Δ=+525)
  start=greedy bandit=linucb rounds=250 P0=4990 -> 4180 (Δ=+810)
  start=greedy bandit=linucb rounds=500 P0=4990 -> 3735 (Δ=+1255)
  start=greedy bandit=linucb rounds=1000 P0=4990 -> 3755 (Δ=+1235)
  start=greedy bandit=uniform rounds=0 P0=4990 -> 4990 (Δ=+0)
  start=greedy bandit=uniform rounds=50 P0=4990 -> 4290 (Δ=+700)
  start=greedy bandit=uniform rounds=100 P0=4990 -> 4770 (Δ=+220)
  start=greedy bandit=uniform rounds=250 P0=4990 -> 4070 (Δ=+920)
  start=greedy bandit=uniform rounds=500 P0=4990 -> 4035 (Δ=+955)
  start=greedy bandit=uniform rounds=1000 P0=4990 -> 4190 (Δ=+800)
  start=mid bandit=linucb rounds=0 P0=4295 -> 4295 (Δ=+0)
  start=mid bandit=linucb rounds=50 P0=4295 -> 3870 (Δ=+425)
  start=mid bandit=linucb rounds=100 P0=4295 -> 3890 (Δ=+405)
  start=mid bandit=linucb rounds=250 P0=4295 -> 3680 (Δ=+615)
  start=mid bandit=linucb rounds=500 P0=4295 -> 3590 (Δ=+705)
  start=mid bandit=linucb rounds=1000 P0=4295 -> 3590 (Δ=+705)
  start=mid bandit=uniform rounds=0 P0=4295 -> 4295 (Δ=+0)
  start=mid bandit=uniform rounds=50 P0=4295 -> 4210 (Δ=+85)
  start=mid bandit=uniform rounds=100 P0=4295 -> 4280 (Δ=+15)
  start=mid bandit=uniform rounds=250 P0=4295 -> 4580 (Δ=-285)
  start=mid bandit=uniform rounds=500 P0=4295 -> 3890 (Δ=+405)
  start=mid bandit=uniform rounds=1000 P0=4295 -> 3625 (Δ=+670)
  start=bandp bandit=linucb rounds=0 P0=1695 -> 1695 (Δ=+0)
  start=bandp bandit=linucb rounds=50 P0=1695 -> 1950 (Δ=-255)
  start=bandp bandit=linucb rounds=100 P0=1695 -> 1950 (Δ=-255)
  start=bandp bandit=linucb rounds=250 P0=1695 -> 2200 (Δ=-505)
  start=bandp bandit=linucb rounds=500 P0=1695 -> 2265 (Δ=-570)
  start=bandp bandit=linucb rounds=1000 P0=1695 -> 2110 (Δ=-415)
  start=bandp bandit=uniform rounds=0 P0=1695 -> 1695 (Δ=+0)
  start=bandp bandit=uniform rounds=50 P0=1695 -> 2705 (Δ=-1010)
  start=bandp bandit=uniform rounds=100 P0=1695 -> 2940 (Δ=-1245)
  start=bandp bandit=uniform rounds=250 P0=1695 -> 2800 (Δ=-1105)
  start=bandp bandit=uniform rounds=500 P0=1695 -> 3420 (Δ=-1725)
  start=bandp bandit=uniform rounds=1000 P0=1695 -> 3190 (Δ=-1495)
  start=greedy bandit=linucb rounds=0 P0=4990 -> 4990 (Δ=+0)
  start=greedy bandit=linucb rounds=50 P0=4990 -> 4815 (Δ=+175)
  start=greedy bandit=linucb rounds=100 P0=4990 -> 4470 (Δ=+520)
  start=greedy bandit=linucb rounds=250 P0=4990 -> 4100 (Δ=+890)
  start=greedy bandit=linucb rounds=500 P0=4990 -> 3935 (Δ=+1055)
  start=greedy bandit=linucb rounds=1000 P0=4990 -> 3435 (Δ=+1555)
  start=greedy bandit=uniform rounds=0 P0=4990 -> 4990 (Δ=+0)
  start=greedy bandit=uniform rounds=50 P0=4990 -> 4930 (Δ=+60)
  start=greedy bandit=uniform rounds=100 P0=4990 -> 4305 (Δ=+685)
  start=greedy bandit=uniform rounds=250 P0=4990 -> 4050 (Δ=+940)
  start=greedy bandit=uniform rounds=500 P0=4990 -> 3315 (Δ=+1675)
  start=greedy bandit=uniform rounds=1000 P0=4990 -> 4095 (Δ=+895)
  start=mid bandit=linucb rounds=0 P0=3965 -> 3965 (Δ=+0)
  start=mid bandit=linucb rounds=50 P0=3965 -> 3965 (Δ=+0)
  start=mid bandit=linucb rounds=100 P0=3965 -> 3965 (Δ=+0)
  start=mid bandit=linucb rounds=250 P0=3965 -> 3550 (Δ=+415)
  start=mid bandit=linucb rounds=500 P0=3965 -> 3650 (Δ=+315)
  start=mid bandit=linucb rounds=1000 P0=3965 -> 3755 (Δ=+210)
  start=mid bandit=uniform rounds=0 P0=3965 -> 3965 (Δ=+0)
  start=mid bandit=uniform rounds=50 P0=3965 -> 4100 (Δ=-135)
  start=mid bandit=uniform rounds=100 P0=3965 -> 4325 (Δ=-360)
  start=mid bandit=uniform rounds=250 P0=3965 -> 3640 (Δ=+325)
  start=mid bandit=uniform rounds=500 P0=3965 -> 4005 (Δ=-40)
  start=mid bandit=uniform rounds=1000 P0=3965 -> 3495 (Δ=+470)
  start=bandp bandit=linucb rounds=0 P0=1695 -> 1695 (Δ=+0)
  start=bandp bandit=linucb rounds=50 P0=1695 -> 1950 (Δ=-255)
